Geographic code,Geographic name,Geographic type,"Geographic name, Province or territory","Geographic code, Province or territory",Global non-response rate,Data quality flag,Household type,"Number of households, 2006","Number of households, 2016","Median household total income (2015 constant dollars), 2005","Median household total income (2015 constant dollars), 2015","Median household total income (2015 constant dollars), % change","Median household after-tax income (2015 constant dollars), 2005","Median household after-tax income (2015 constant dollars), 2015","Median household after-tax income (2015 constant dollars), % change"
1003,Division No.  3,Census division,Newfoundland and Labrador,10,4.3,0,"      One couple, with or without children in their census family",4825,4385,50368,70712,40.4,45499,62266,36.9
1003,Division No.  3,Census division,Newfoundland and Labrador,10,4.3,0,"        One couple, without children in their census family",2380,2710,45094,57053,26.5,39921,52143,30.6
1003,Division No.  3,Census division,Newfoundland and Labrador,10,4.3,0,"        One couple, with children in their census family",2445,1675,58194,93389,60.5,51301,81067,58
1003,Division No.  3,Census division,Newfoundland and Labrador,10,4.3,0,      One lone-parent census family,425,450,28062,37837,34.8,27880,37504,34.5
1003,Division No.  3,Census division,Newfoundland and Labrador,10,4.3,0,    Other census-family households,400,325,63186,90368,43,60814,84032,38.2
1003,Division No.  3,Census division,Newfoundland and Labrador,10,4.3,0,  Non-census-family households,1245,1610,19648,22080,12.4,19383,21648,11.7
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,0,Total – Household type including census family structure,8725,9345,39831,44282,11.2,36374,41079,12.9
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,0,  Census-family households,6405,6190,48725,60440,24,43801,54741,25
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,0,    Households consisting of only one census family without additional persons,5785,5715,47551,58624,23.3,43207,52992,22.6
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,0,"      One couple, with or without children in their census family",4740,4620,52236,66607,27.5,46016,59313,28.9
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,0,"        One couple, without children in their census family",2465,2885,48733,55643,14.2,43346,50741,17.1
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,0,"        One couple, with children in their census family",2275,1735,60029,90787,51.2,51905,79056,52.3
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,0,      One lone-parent census family,1045,1100,25759,33963,31.8,25358,33056,30.4
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,0,    Other census-family households,620,475,54999,82688,50.3,50979,76032,49.1
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,0,  Non-census-family households,2315,3155,18445,21880,18.6,18193,21327,17.2
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,0,Total – Household type including census family structure,15925,17890,52627,62565,18.9,46424,55417,19.4
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,0,  Census-family households,12585,12845,61756,79014,27.9,53850,68958,28.1
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,0,    Households consisting of only one census family without additional persons,11560,11855,60406,76708,27,52035,67017,28.8
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,0,"      One couple, with or without children in their census family",9915,10260,66079,83891,27,56617,72315,27.7
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,0,"        One couple, without children in their census family",4970,5905,52648,66033,25.4,46041,58485,27
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,0,"        One couple, with children in their census family",4945,4360,78806,111994,42.1,67931,93915,38.3
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,0,      One lone-parent census family,1645,1590,32106,41248,28.5,30999,39369,27
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,0,    Other census-family households,1025,990,77252,103731,34.3,67506,92014,36.3
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,0,  Non-census-family households,3340,5045,22425,28480,27,21643,26537,22.6
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,0,Total – Household type including census family structure,14230,16435,51534,61250,18.9,45709,54440,19.1
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,0,  Census-family households,11310,11965,61377,75791,23.5,53345,66683,25
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,0,    Households consisting of only one census family without additional persons,10560,11220,60057,74374,23.8,52816,65106,23.3
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,0,"      One couple, with or without children in their census family",9220,9770,65628,80640,22.9,56102,69901,24.6
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,0,"        One couple, without children in their census family",4630,5795,53841,64828,20.4,47687,58159,22
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,0,"        One couple, with children in their census family",4590,3980,77582,109731,41.4,66133,91995,39.1
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,0,      One lone-parent census family,1340,1445,29600,39424,33.2,28442,37837,33
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,0,    Other census-family households,750,745,70316,97216,38.3,66113,87296,32
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,0,  Non-census-family households,2920,4470,23013,29024,26.1,21726,26826,23.5
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,0,Total – Household type including census family structure,14010,14570,45846,57183,24.7,41485,51484,24.1
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,0,  Census-family households,11155,11010,53495,69788,30.5,47419,61969,30.7
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,0,    Households consisting of only one census family without additional persons,10155,10225,51036,67910,33.1,45496,60277,32.5
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,0,"      One couple, with or without children in their census family",9300,9165,53895,72016,33.6,47363,63501,34.1
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,0,"        One couple, without children in their census family",4910,5700,44844,57869,29,39601,52357,32.2
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,0,"        One couple, with children in their census family",4385,3465,66630,101513,52.4,57745,86097,49.1
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,0,      One lone-parent census family,860,1060,25556,40169,57.2,25509,38720,51.8
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,0,    Other census-family households,1000,785,69334,91904,32.6,64092,83200,29.8
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,0,  Non-census-family households,2855,3560,18397,24182,31.4,18160,23560,29.7
1008,Division No.  8,Census division,Newfoundland and Labrador,10,4.4,0,Total – Household type including census family structure,15440,15590,42906,51687,20.5,39384,47341,20.2
1008,Division No.  8,Census division,Newfoundland and Labrador,10,4.4,0,  Census-family households,12700,12000,48436,62557,29.2,43929,56285,28.1
1008,Division No.  8,Census division,Newfoundland and Labrador,10,4.4,0,    Households consisting of only one census family without additional persons,11950,11450,47798,61440,28.5,42990,55217,28.4
1008,Division No.  8,Census division,Newfoundland and Labrador,10,4.4,0,"      One couple, with or without children in their census family",10985,10475,49586,64320,29.7,44434,57532,29.5
1008,Division No.  8,Census division,Newfoundland and Labrador,10,4.4,0,"        One couple, without children in their census family",5815,6785,41612,51567,23.9,37773,47432,25.6
1008,Division No.  8,Census division,Newfoundland and Labrador,10,4.4,0,"        One couple, with children in their census family",5165,3690,57731,90867,57.4,51048,78080,53
1008,Division No.  8,Census division,Newfoundland and Labrador,10,4.4,0,      One lone-parent census family,960,980,25775,36267,40.7,25469,35442,39.2
1008,Division No.  8,Census division,Newfoundland and Labrador,10,4.4,0,    Other census-family households,750,545,63903,90368,41.4,58271,82645,41.8
1008,Division No.  8,Census division,Newfoundland and Labrador,10,4.4,0,  Non-census-family households,2740,3590,18511,21604,16.7,18344,21324,16.2
1009,Division No.  9,Census division,Newfoundland and Labrador,10,4.7,0,Total – Household type including census family structure,6995,6685,47241,59858,26.7,42635,54037,26.7
1009,Division No.  9,Census division,Newfoundland and Labrador,10,4.7,0,  Census-family households,5715,5060,54604,73203,34.1,48492,64624,33.3
1009,Division No.  9,Census division,Newfoundland and Labrador,10,4.7,0,    Households consisting of only one census family without additional persons,5095,4650,51874,71243,37.3,46420,62750,35.2
1009,Division No.  9,Census division,Newfoundland and Labrador,10,4.7,0,"      One couple, with or without children in their census family",4580,4185,54821,74832,36.5,48436,65749,35.7
1009,Division No.  9,Census division,Newfoundland and Labrador,10,4.7,0,"        One couple, without children in their census family",2320,2660,45939,62240,35.5,40862,55296,35.3
1009,Division No.  9,Census division,Newfoundland and Labrador,10,4.7,0,"        One couple, with children in their census family",2260,1530,63727,102880,61.4,55662,88544,59.1
1009,Division No.  9,Census division,Newfoundland and Labrador,10,4.7,0,      One lone-parent census family,515,465,35453,43008,21.3,33573,41779,24.4
1009,Division No.  9,Census division,Newfoundland and Labrador,10,4.7,0,    Other census-family households,625,410,68647,91136,32.8,61967,83354,34.5
1009,Division No.  9,Census division,Newfoundland and Labrador,10,4.7,0,  Non-census-family households,1280,1625,18596,24789,33.3,18121,23840,31.6
1010,Division No. 10,Census division,Newfoundland and Labrador,10,4,0,Total – Household type including census family structure,8540,9195,80063,112768,40.8,67664,92764,37.1
1010,Division No. 10,Census division,Newfoundland and Labrador,10,4,0,  Census-family households,6980,7200,90534,126830,40.1,75915,104466,37.6
1010,Division No. 10,Census division,Newfoundland and Labrador,10,4,0,    Households consisting of only one census family without additional persons,6365,6530,90371,125824,39.2,75466,103007,36.5
1010,Division No. 10,Census division,Newfoundland and Labrador,10,4,0,"      One couple, with or without children in their census family",5605,5795,97051,132453,36.5,79417,108345,36.4
1010,Division No. 10,Census division,Newfoundland and Labrador,10,4,0,"        One couple, without children in their census family",2345,2745,87574,113428,29.5,71573,92635,29.4
1010,Division No. 10,Census division,Newfoundland and Labrador,10,4,0,"        One couple, with children in their census family",3265,3050,102909,148013,43.8,84671,120512,42.3
1010,Division No. 10,Census division,Newfoundland and Labrador,10,4,0,      One lone-parent census family,755,735,39119,65824,68.3,37350,58784,57.4
1010,Division No. 10,Census division,Newfoundland and Labrador,10,4,0,    Other census-family households,615,670,94117,137830,46.4,83346,121429,45.7
1010,Division No. 10,Census division,Newfoundland and Labrador,10,4,0,  Non-census-family households,1565,1990,44232,57728,30.5,38930,48832,25.4
1011,Division No. 11,Census division,Newfoundland and Labrador,10,13,1100,Total – Household type including census family structure,700,835,60501,70315,16.2,53632,62610,16.7
1011,Division No. 11,Census division,Newfoundland and Labrador,10,13,1100,  Census-family households,585,680,65472,78763,20.3,57728,69717,20.8
1011,Division No. 11,Census division,Newfoundland and Labrador,10,13,1100,    Households consisting of only one census family without additional persons,460,545,60544,74112,22.4,54400,66208,21.7
1011,Division No. 11,Census division,Newfoundland and Labrador,10,13,1100,"      One couple, with or without children in their census family",385,455,68966,84544,22.6,61056,73643,20.6
1011,Division No. 11,Census division,Newfoundland and Labrador,10,13,1100,"        One couple, without children in their census family",95,160,64128,65280,1.8,55168,57088,3.5
1011,Division No. 11,Census division,Newfoundland and Labrador,10,13,1100,"        One couple, with children in their census family",290,300,71253,90027,26.3,62400,80000,28.2
1011,Division No. 11,Census division,Newfoundland and Labrador,10,13,1100,      One lone-parent census family,75,85,31872,39296,23.3,31616,39296,24.3
1011,Division No. 11,Census division,Newfoundland and Labrador,10,13,1100,    Other census-family households,125,135,77824,97792,25.7,69888,88832,27.1
1011,Division No. 11,Census division,Newfoundland and Labrador,10,13,1100,  Non-census-family households,110,155,28480,32448,13.9,25920,30400,17.3
1101,Kings,County,Prince Edward Island,11,4.1,0,Total – Household type including census family structure,7165,7220,52403,57799,10.3,46916,50903,8.5
1101,Kings,County,Prince Edward Island,11,4.1,0,  Census-family households,5240,4985,63448,73609,16,56332,63656,13
1101,Kings,County,Prince Edward Island,11,4.1,0,    Households consisting of only one census family without additional persons,4910,4700,62351,72220,15.8,54991,62866,14.3
1101,Kings,County,Prince Edward Island,11,4.1,0,"      One couple, with or without children in their census family",4175,4035,66913,78067,16.7,58940,66805,13.3
1101,Kings,County,Prince Edward Island,11,4.1,0,"        One couple, without children in their census family",1880,2285,58628,67560,15.2,50414,58848,16.7
1101,Kings,County,Prince Edward Island,11,4.1,0,"        One couple, with children in their census family",2295,1755,72941,93440,28.1,64193,80183,24.9
1101,Kings,County,Prince Edward Island,11,4.1,0,      One lone-parent census family,735,660,39325,43853,11.5,37120,40432,8.9
1101,Kings,County,Prince Edward Island,11,4.1,0,    Other census-family households,330,285,83945,88192,5.1,77661,79744,2.7
1101,Kings,County,Prince Edward Island,11,4.1,0,  Non-census-family households,1920,2240,23623,29010,22.8,21597,26037,20.6
1102,Queens,County,Prince Edward Island,11,4.2,0,Total – Household type including census family structure,28690,33975,57216,63770,11.5,50105,55200,10.2
1102,Queens,County,Prince Edward Island,11,4.2,0,  Census-family households,20295,23010,71757,81211,13.2,61382,69554,13.3
1102,Queens,County,Prince Edward Island,11,4.2,0,    Households consisting of only one census family without additional persons,19020,21600,70903,80245,13.2,60294,68452,13.5
1102,Queens,County,Prince Edward Island,11,4.2,0,"      One couple, with or without children in their census family",16235,18625,76610,86394,12.8,65171,73353,12.6
1102,Queens,County,Prince Edward Island,11,4.2,0,"        One couple, without children in their census family",7560,9675,65740,74618,13.5,55809,64037,14.7
1102,Queens,County,Prince Edward Island,11,4.2,0,"        One couple, with children in their census family",8675,8950,86567,101641,17.4,73969,85994,16.3
1102,Queens,County,Prince Edward Island,11,4.2,0,      One lone-parent census family,2785,2970,40243,46421,15.4,37222,42394,13.9
1102,Queens,County,Prince Edward Island,11,4.2,0,    Other census-family households,1275,1410,89640,99200,10.7,80263,87319,8.8
1102,Queens,County,Prince Edward Island,11,4.2,0,  Non-census-family households,8395,10960,30224,34381,13.8,26746,30537,14.2
1103,Prince,County,Prince Edward Island,11,4,0,Total – Household type including census family structure,17285,18275,52655,58196,10.5,46388,51240,10.5
1103,Prince,County,Prince Edward Island,11,4,0,  Census-family households,13045,12965,62625,73166,16.8,54668,63680,16.5
1103,Prince,County,Prince Edward Island,11,4,0,    Households consisting of only one census family without additional persons,12205,12225,61676,72068,16.8,53732,62623,16.5
1103,Prince,County,Prince Edward Island,11,4,0,"      One couple, with or without children in their census family",10480,10580,65810,77402,17.6,56763,66813,17.7
1103,Prince,County,Prince Edward Island,11,4,0,"        One couple, without children in their census family",4970,5940,54425,64032,17.7,48184,56177,16.6
1103,Prince,County,Prince Edward Island,11,4,0,"        One couple, with children in their census family",5510,4640,75962,95781,26.1,65663,82065,25
1103,Prince,County,Prince Edward Island,11,4,0,      One lone-parent census family,1725,1645,39572,43575,10.1,36845,40309,9.4
1103,Prince,County,Prince Edward Island,11,4,0,    Other census-family households,840,735,80161,91840,14.6,70980,81971,15.5
1103,Prince,County,Prince Edward Island,11,4,0,  Non-census-family households,4240,5315,25101,29547,17.7,23043,26720,16
1201,Shelburne,County,Nova Scotia,12,3.9,0,Total – Household type including census family structure,6480,6380,47911,57462,19.9,42907,50251,17.1
1201,Shelburne,County,Nova Scotia,12,3.9,0,  Census-family households,4745,4325,57874,73206,26.5,51222,63155,23.3
1201,Shelburne,County,Nova Scotia,12,3.9,0,    Households consisting of only one census family without additional persons,4450,4075,56039,72800,29.9,50143,62639,24.9
1201,Shelburne,County,Nova Scotia,12,3.9,0,"      One couple, with or without children in their census family",3835,3555,60088,78258,30.2,52390,66406,26.8
1201,Shelburne,County,Nova Scotia,12,3.9,0,"        One couple, without children in their census family",2005,2265,51264,67005,30.7,45006,58635,30.3
1201,Shelburne,County,Nova Scotia,12,3.9,0,"        One couple, with children in their census family",1830,1290,65844,99840,51.6,58264,83490,43.3
1201,Shelburne,County,Nova Scotia,12,3.9,0,      One lone-parent census family,615,520,35881,37632,4.9,34336,36480,6.2
1201,Shelburne,County,Nova Scotia,12,3.9,0,    Other census-family households,295,255,73115,83200,13.8,68454,73728,7.7
1201,Shelburne,County,Nova Scotia,12,3.9,0,  Non-census-family households,1735,2050,21539,27181,26.2,20782,25262,21.6
1202,Yarmouth,County,Nova Scotia,12,4.2,0,Total – Household type including census family structure,10650,10795,49390,54006,9.3,43614,48276,10.7
1202,Yarmouth,County,Nova Scotia,12,4.2,0,  Census-family households,7805,7320,60875,69794,14.7,53023,60977,15
1202,Yarmouth,County,Nova Scotia,12,4.2,0,    Households consisting of only one census family without additional persons,7310,6835,60172,68458,13.8,52137,59776,14.7
1202,Yarmouth,County,Nova Scotia,12,4.2,0,"      One couple, with or without children in their census family",6285,5870,64542,74939,16.1,56314,64613,14.7
1202,Yarmouth,County,Nova Scotia,12,4.2,0,"        One couple, without children in their census family",3195,3600,53153,61781,16.2,45934,54829,19.4
1202,Yarmouth,County,Nova Scotia,12,4.2,0,"        One couple, with children in their census family",3095,2270,77752,100494,29.2,67058,84578,26.1
1202,Yarmouth,County,Nova Scotia,12,4.2,0,      One lone-parent census family,1025,970,31580,38912,23.2,30988,37348,20.5
1202,Yarmouth,County,Nova Scotia,12,4.2,0,    Other census-family households,495,480,78691,88192,12.1,67603,79275,17.3
1202,Yarmouth,County,Nova Scotia,12,4.2,0,  Non-census-family households,2845,3480,22789,27520,20.8,21556,25563,18.6
1203,Digby,County,Nova Scotia,12,4.2,0,Total – Household type including census family structure,8070,8040,45323,47922,5.7,40628,43676,7.5
1203,Digby,County,Nova Scotia,12,4.2,0,  Census-family households,5715,5285,54408,62720,15.3,48952,55765,13.9
1203,Digby,County,Nova Scotia,12,4.2,0,    Households consisting of only one census family without additional persons,5320,4955,53260,61277,15.1,47085,54571,15.9
1203,Digby,County,Nova Scotia,12,4.2,0,"      One couple, with or without children in their census family",4580,4330,57421,65435,14,50128,57564,14.8
1203,Digby,County,Nova Scotia,12,4.2,0,"        One couple, without children in their census family",2505,2855,48172,56021,16.3,43716,50423,15.3
1203,Digby,County,Nova Scotia,12,4.2,0,"        One couple, with children in their census family",2075,1480,68568,85138,24.2,59226,73807,24.6
1203,Digby,County,Nova Scotia,12,4.2,0,      One lone-parent census family,740,625,35324,40352,14.2,33410,37856,13.3
1203,Digby,County,Nova Scotia,12,4.2,0,    Other census-family households,395,330,67770,77483,14.3,64071,71936,12.3
1203,Digby,County,Nova Scotia,12,4.2,0,  Non-census-family households,2360,2760,22044,25427,15.3,20875,24081,15.4
1204,Queens,County,Nova Scotia,12,4.8,0,Total – Household type including census family structure,4700,4765,47219,47548,0.7,41336,43520,5.3
1204,Queens,County,Nova Scotia,12,4.8,0,  Census-family households,3485,3200,55526,60640,9.2,49433,54368,10
1204,Queens,County,Nova Scotia,12,4.8,0,    Households consisting of only one census family without additional persons,3280,3000,54118,59150,9.3,47966,53262,11
1204,Queens,County,Nova Scotia,12,4.8,0,"      One couple, with or without children in their census family",2880,2660,58060,62797,8.2,50876,56102,10.3
1204,Queens,County,Nova Scotia,12,4.8,0,"        One couple, without children in their census family",1600,1760,49049,56046,14.3,43563,51499,18.2
1204,Queens,County,Nova Scotia,12,4.8,0,"        One couple, with children in their census family",1280,900,71658,76629,6.9,60015,67328,12.2
1204,Queens,County,Nova Scotia,12,4.8,0,      One lone-parent census family,395,335,29182,36045,23.5,28241,34560,22.4
1204,Queens,County,Nova Scotia,12,4.8,0,    Other census-family households,210,200,78612,75520,-3.9,72005,68523,-4.8
1204,Queens,County,Nova Scotia,12,4.8,0,  Non-census-family households,1215,1565,26119,25125,-3.8,24221,24096,-0.5
1205,Annapolis,County,Nova Scotia,12,4.5,0,Total – Household type including census family structure,9205,9380,43837,48116,9.8,39767,43746,10
1205,Annapolis,County,Nova Scotia,12,4.5,0,  Census-family households,6505,6390,55756,60729,8.9,49083,54651,11.3
1205,Annapolis,County,Nova Scotia,12,4.5,0,    Households consisting of only one census family without additional persons,6150,6040,54968,60187,9.5,48222,54196,12.4
1205,Annapolis,County,Nova Scotia,12,4.5,0,"      One couple, with or without children in their census family",5450,5320,57947,64096,10.6,50633,56719,12
1205,Annapolis,County,Nova Scotia,12,4.5,0,"        One couple, without children in their census family",3145,3555,49975,58261,16.6,44415,52498,18.2
1205,Annapolis,County,Nova Scotia,12,4.5,0,"        One couple, with children in their census family",2305,1760,70519,77952,10.5,60754,67853,11.7
1205,Annapolis,County,Nova Scotia,12,4.5,0,      One lone-parent census family,695,725,32923,36659,11.3,32831,34987,6.6
1205,Annapolis,County,Nova Scotia,12,4.5,0,    Other census-family households,355,350,65956,72064,9.3,63108,66475,5.3
1205,Annapolis,County,Nova Scotia,12,4.5,0,  Non-census-family households,2700,2985,23164,26328,13.7,21621,24651,14
1206,Lunenburg,County,Nova Scotia,12,4,0,Total – Household type including census family structure,20075,21440,51165,54833,7.2,45257,48915,8.1
1206,Lunenburg,County,Nova Scotia,12,4,0,  Census-family households,14580,14780,62553,69236,10.7,54053,60608,12.1
1206,Lunenburg,County,Nova Scotia,12,4,0,    Households consisting of only one census family without additional persons,13825,14020,61528,68166,10.8,53281,59682,12
1206,Lunenburg,County,Nova Scotia,12,4,0,"      One couple, with or without children in their census family",12405,12360,64537,72151,11.8,55722,62805,12.7
1206,Lunenburg,County,Nova Scotia,12,4,0,"        One couple, without children in their census family",7015,8035,55850,63249,13.2,48984,55895,14.1
1206,Lunenburg,County,Nova Scotia,12,4,0,"        One couple, with children in their census family",5390,4325,75432,90835,20.4,63271,77233,22.1
1206,Lunenburg,County,Nova Scotia,12,4,0,      One lone-parent census family,1420,1660,32923,42534,29.2,32191,39672,23.2
1206,Lunenburg,County,Nova Scotia,12,4,0,    Other census-family households,755,755,76259,85419,12,68423,75622,10.5
1206,Lunenburg,County,Nova Scotia,12,4,0,  Non-census-family households,5495,6660,24948,28944,16,23286,26486,13.7
1207,Kings,County,Nova Scotia,12,4,0,Total – Household type including census family structure,24195,25955,52926,57776,9.2,46022,50936,10.7
1207,Kings,County,Nova Scotia,12,4,0,  Census-family households,17675,17840,63089,72124,14.3,55017,62941,14.4
1207,Kings,County,Nova Scotia,12,4,0,    Households consisting of only one census family without additional persons,16535,16600,62354,71268,14.3,54247,61997,14.3
1207,Kings,County,Nova Scotia,12,4,0,"      One couple, with or without children in their census family",14305,14350,66538,76482,14.9,57456,65753,14.4
1207,Kings,County,Nova Scotia,12,4,0,"        One couple, without children in their census family",7330,8440,59513,65422,9.9,51080,57648,12.9
1207,Kings,County,Nova Scotia,12,4,0,"        One couple, with children in their census family",6975,5910,77381,93595,21,65638,79430,21
1207,Kings,County,Nova Scotia,12,4,0,      One lone-parent census family,2230,2250,36167,41297,14.2,33943,38626,13.8
1207,Kings,County,Nova Scotia,12,4,0,    Other census-family households,1140,1235,74314,85077,14.5,67341,75712,12.4
1207,Kings,County,Nova Scotia,12,4,0,  Non-census-family households,6520,8115,26350,31819,20.8,23816,28747,20.7
1208,Hants,County,Nova Scotia,12,3.5,0,Total – Household type including census family structure,15835,17440,58728,65028,10.7,51171,56174,9.8
1208,Hants,County,Nova Scotia,12,3.5,0,  Census-family households,12240,12790,69375,79668,14.8,59350,67833,14.3
1208,Hants,County,Nova Scotia,12,3.5,0,    Households consisting of only one census family without additional persons,11165,11775,68406,78285,14.4,58669,66594,13.5
1208,Hants,County,Nova Scotia,12,3.5,0,"      One couple, with or without children in their census family",9890,10205,73019,84216,15.3,61400,71006,15.6
1208,Hants,County,Nova Scotia,12,3.5,0,"        One couple, without children in their census family",5015,5630,61152,71600,17.1,52492,61485,17.1
1208,Hants,County,Nova Scotia,12,3.5,0,"        One couple, with children in their census family",4870,4575,82043,100262,22.2,69907,83976,20.1
1208,Hants,County,Nova Scotia,12,3.5,0,      One lone-parent census family,1280,1570,37997,44651,17.5,35640,41771,17.2
1208,Hants,County,Nova Scotia,12,3.5,0,    Other census-family households,1075,1015,79635,96512,21.2,72252,84960,17.6
1208,Hants,County,Nova Scotia,12,3.5,0,  Non-census-family households,3600,4650,26498,32049,20.9,23961,28915,20.7
1209,Halifax,County,Nova Scotia,12,3.7,0,Total – Household type including census family structure,155125,173460,64004,69522,8.6,54301,59240,9.1
1209,Halifax,County,Nova Scotia,12,3.7,0,  Census-family households,103255,111290,82633,91252,10.4,69170,76537,10.7
1209,Halifax,County,Nova Scotia,12,3.7,0,    Households consisting of only one census family without additional persons,95405,102540,81688,89973,10.1,68101,75266,10.5
1209,Halifax,County,Nova Scotia,12,3.7,0,"      One couple, with or without children in their census family",81750,87645,88746,97555,9.9,73558,80976,10.1
1209,Halifax,County,Nova Scotia,12,3.7,0,"        One couple, without children in their census family",39390,46745,75468,83943,11.2,62968,70587,12.1
1209,Halifax,County,Nova Scotia,12,3.7,0,"        One couple, with children in their census family",42360,40895,102056,116023,13.7,83661,95284,13.9
